"customer_id","customer_name","contact","membership"
39118,John Smith,John.Smith@gmx.de,standard
68677,John Johnson,John.Johnson@gmx.de,premium
64842,John Williams,John.Williams@gmx.de,standard
18493,John Brown,John.Brown@gmx.de,standard
69740,John Jones,John.Jones@gmx.de,premium
79703,John Miller,John.Miller@gmx.de,standard
71521,John Davis,John.Davis@gmx.de,premium
82762,John Garcia,John.Garcia@gmx.de,premium
48934,John Rodriguez,John.Rodriguez@gmx.de,standard
30281,John Martinez,John.Martinez@gmx.de,premium
22429,Jane Smith,Jane.Smith@gmx.de,premium
34553,Jane Johnson,Jane.Johnson@gmx.de,premium
81135,Jane Williams,Jane.Williams@gmx.de,standard
22400,Jane Brown,Jane.Brown@gmx.de,standard
17266,Jane Jones,Jane.Jones@gmx.de,standard
33425,Jane Miller,Jane.Miller@gmx.de,standard
29793,Jane Davis,Jane.Davis@gmx.de,standard
56338,Jane Garcia,Jane.Garcia@gmx.de,standard
60658,Jane Rodriguez,Jane.Rodriguez@gmx.de,standard
87423,Jane Martinez,Jane.Martinez@gmx.de,premium
99560,Michael Smith,Michael.Smith@gmx.de,premium
1045,Michael Johnson,Michael.Johnson@gmx.de,premium
2724,Michael Williams,Michael.Williams@gmx.de,premium
1491,Michael Brown,Michael.Brown@gmx.de,standard
40089,Michael Jones,Michael.Jones@gmx.de,standard
93649,Michael Miller,Michael.Miller@gmx.de,standard
24009,Michael Davis,Michael.Davis@gmx.de,standard
53909,Michael Garcia,Michael.Garcia@gmx.de,premium
92010,Michael Rodriguez,Michael.Rodriguez@gmx.de,premium
54654,Michael Martinez,Michael.Martinez@gmx.de,premium
22784,Emily Smith,Emily.Smith@gmx.de,standard
78545,Emily Johnson,Emily.Johnson@gmx.de,premium
58972,Emily Williams,Emily.Williams@gmx.de,standard
28470,Emily Brown,Emily.Brown@gmx.de,premium
93070,Emily Jones,Emily.Jones@gmx.de,standard
45295,Emily Miller,Emily.Miller@gmx.de,standard
75300,Emily Davis,Emily.Davis@gmx.de,premium
87391,Emily Garcia,Emily.Garcia@gmx.de,premium
53534,Emily Rodriguez,Emily.Rodriguez@gmx.de,premium
18040,Emily Martinez,Emily.Martinez@gmx.de,standard
71512,David Smith,David.Smith@gmx.de,standard
61313,David Johnson,David.Johnson@gmx.de,standard
45898,David Williams,David.Williams@gmx.de,premium
88589,David Brown,David.Brown@gmx.de,standard
75625,David Jones,David.Jones@gmx.de,premium
88190,David Miller,David.Miller@gmx.de,premium
19994,David Davis,David.Davis@gmx.de,standard
83687,David Garcia,David.Garcia@gmx.de,premium
33444,David Rodriguez,David.Rodriguez@gmx.de,premium
80328,David Martinez,David.Martinez@gmx.de,premium
36888,Sophia Smith,Sophia.Smith@gmx.de,standard
67429,Sophia Johnson,Sophia.Johnson@gmx.de,standard
18682,Sophia Williams,Sophia.Williams@gmx.de,premium
32884,Sophia Brown,Sophia.Brown@gmx.de,premium
58799,Sophia Jones,Sophia.Jones@gmx.de,premium
98971,Sophia Miller,Sophia.Miller@gmx.de,standard
62889,Sophia Davis,Sophia.Davis@gmx.de,standard
32137,Sophia Garcia,Sophia.Garcia@gmx.de,premium
66048,Sophia Rodriguez,Sophia.Rodriguez@gmx.de,standard
60102,Sophia Martinez,Sophia.Martinez@gmx.de,premium
34156,William Smith,William.Smith@gmx.de,premium
26272,William Johnson,William.Johnson@gmx.de,standard
73877,William Williams,William.Williams@gmx.de,premium
10125,William Brown,William.Brown@gmx.de,standard
18993,William Jones,William.Jones@gmx.de,standard
59174,William Miller,William.Miller@gmx.de,standard
25646,William Davis,William.Davis@gmx.de,premium
53412,William Garcia,William.Garcia@gmx.de,standard
86185,William Rodriguez,William.Rodriguez@gmx.de,premium
97296,William Martinez,William.Martinez@gmx.de,standard
99907,Olivia Smith,Olivia.Smith@gmx.de,standard
20885,Olivia Johnson,Olivia.Johnson@gmx.de,premium
79003,Olivia Williams,Olivia.Williams@gmx.de,premium
19220,Olivia Brown,Olivia.Brown@gmx.de,standard
53883,Olivia Jones,Olivia.Jones@gmx.de,premium
16567,Olivia Miller,Olivia.Miller@gmx.de,standard
38757,Olivia Davis,Olivia.Davis@gmx.de,standard
11235,Olivia Garcia,Olivia.Garcia@gmx.de,standard
85189,Olivia Rodriguez,Olivia.Rodriguez@gmx.de,standard
62951,Olivia Martinez,Olivia.Martinez@gmx.de,premium
86366,James Smith,James.Smith@gmx.de,standard
55758,James Johnson,James.Johnson@gmx.de,premium
1674,James Williams,James.Williams@gmx.de,standard
97602,James Brown,James.Brown@gmx.de,premium
8296,James Jones,James.Jones@gmx.de,premium
16035,James Miller,James.Miller@gmx.de,standard
95802,James Davis,James.Davis@gmx.de,standard
78811,James Garcia,James.Garcia@gmx.de,premium
7440,James Rodriguez,James.Rodriguez@gmx.de,premium
24717,James Martinez,James.Martinez@gmx.de,standard
6060,Emma Smith,Emma.Smith@gmx.de,standard
16324,Emma Johnson,Emma.Johnson@gmx.de,premium
29016,Emma Williams,Emma.Williams@gmx.de,standard
73939,Emma Brown,Emma.Brown@gmx.de,standard
65312,Emma Jones,Emma.Jones@gmx.de,premium
33479,Emma Miller,Emma.Miller@gmx.de,standard
27747,Emma Davis,Emma.Davis@gmx.de,premium
49216,Emma Garcia,Emma.Garcia@gmx.de,standard
46457,Emma Rodriguez,Emma.Rodriguez@gmx.de,premium
92549,Emma Martinez,Emma.Martinez@gmx.de,standard
